,Company,Net Income Incl Extra Before Distributions,Percentage of Green Products,Date,ESG Period Last Update Date,ESG Score,ESG Controversies Score,Environmental Controversies Count,Human Rights Controversies,Business Ethics Controversies,Wages Working Condition Controversies Count,Controversies Customer Health & Safety,Waste Recycling Ratio,Waste Total,Total Renewable Energy To Energy Use in million,Total Renewable Energy,Environmental Expenditures,"CO2 Equivalent Emissions Indirect, Scope 3 To Revenues USD in million Score",Estimated CO2 Equivalents Emission Total,Water Use To Revenues USD in million,Environmental Pillar Score,Emissions Score,Environmental Innovation Score,Resource Use Score,Total CO2 Equivalent Emissions To Revenues USD in million,Energy Use Total,Board Meeting Attendance Average,"Board Gender Diversity, Percent",CSR Strategy Score,Management Score,Shareholders Score,ESG Reporting Scope,Board Size,Total Donations To Revenues in million,Product Responsibility Score,Workforce Score,Human Rights Score,Community Score,Women Managers,Gender Pay Gap Percentage,Women Employees,Employees With Disabilities,Policy Diversity and Opportunity Score,Training Hours Total,Average Training Hours
22,AJG.N,396800000.0,,2015-12-31,2024-05-31T00:00:00Z,51.9520280478531,100.0,,,,,,,,,,,,24868.8,,47.9671033999612,11.3636363636364,23.2758620689655,6.54205607476636,,,75.0,22.2222222222222,48.6970684039088,86.3664215686274,20.0061274509804,100.0,9.0,,37.7483443708609,48.2456140350877,7.0,80.4093567251462,,,,,57.8488372093023,,
23,AJG.N,481300000.0,,2016-12-31,2024-05-31T00:00:00Z,52.5337180949676,100.0,,,,,,,,,,,,27194.4,,50.5885975079687,21.3235294117647,22.3076923076923,6.25,,,75.0,20.0,20.8774583963691,87.3506825938567,34.108361774744,,10.0,,38.031914893617,48.0295566502463,8.46153846153846,83.2512315270936,,,,,58.578431372549,,
24,AJG.N,633500000.0,,2017-12-31,2024-05-31T00:00:00Z,57.9303695511573,100.0,,,,,,,,,,,,25487.7,,48.7098054551928,21.0526315789474,25.625,6.2992125984252,,,75.0,20.0,49.1780821917808,88.5130494505495,46.7891483516484,100.0,10.0,,37.0558375634518,44.3661971830986,49.438202247191,80.7511737089202,,,,,58.9201877934272,,
25,AJG.N,668800000.0,,2018-12-31,2024-05-31T00:00:00Z,53.3093522231765,100.0,,,,,,,,,,,,27048.8,,49.1102642719414,18.2098765432099,35.0,6.83453237410072,,,75.0,20.0,62.6891734575087,71.0166666666667,62.5166666666667,100.0,10.0,,36.7149758454106,38.4792626728111,30.0,79.4930875576037,,,,,57.8341013824885,,
26,AJG.N,818800000.0,,2019-12-31,2024-05-31T00:00:00Z,56.2504255386444,100.0,,,,,,,,,,,13.0630630630631,40354.0,,49.3664610071086,27.8645833333333,33.9622641509434,6.1046511627907,5.608617095205,,75.0,22.2222222222222,64.3169877408056,79.8821280662631,52.4211532335139,100.0,9.0,,35.7142857142857,49.5850622406639,24.6212121212121,79.8755186721992,47.0,,60.0,,57.2614107883817,,
27,AJG.N,906800000.0,,2020-12-31,2024-05-31T00:00:00Z,52.79393582684,93.9024390243902,,,,,,,,,,,22.6495726495726,33398.0,,48.6913674560733,29.2857142857143,32.9059829059829,5.3475935828877,4.76869038780056,,75.0,22.2222222222222,64.2045454545455,75.5894800483676,35.444377267231,100.0,9.0,,34.1666666666667,44.1176470588235,29.7385620915033,77.4509803921569,47.3,,59.8,,56.4705882352941,,
28,AJG.N,1114200000.0,,2021-12-31,2024-07-05T00:00:00Z,52.4075250284903,64.1025641025641,,,,1.0,,,,,,,33.1967213114754,35345.0,,50.7188697821481,38.2231404958678,38.6524822695035,4.24107142857143,4.30543036031866,,75.0,30.0,15.4717975751186,79.933545218145,42.6610806125397,,10.0,,32.9044117647059,46.4041095890411,27.7777777777778,75.6849315068493,47.0,,58.0,,55.3082191780822,,
29,AJG.N,969500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CNP.N,611000000.0,,2013-12-31,2022-08-17T00:00:00Z,38.1418413582801,45.0,,,,,,,,,,,,8221820.0,,12.1977437207322,18.3333333333333,0.0,17.2413793103448,,,75.0,25.0,61.1913357400722,97.1852610030706,71.2896622313204,100.0,8.0,,77.5862068965517,29.6875,0.0,56.25,,,,,56.4516129032258,,
31,CNP.N,-692000000.0,,2014-12-31,2023-01-19T00:00:00Z,34.377295841604,100.0,,,,,,,,,,,,22131600.0,,12.8534448426921,16.6666666666667,0.0,20.9677419354839,2398.82982874485,,75.0,22.2222222222222,49.5429616087751,98.5158648925281,69.3449334698055,100.0,9.0,,37.9310344827586,16.1764705882353,0.0,57.3529411764706,,,,,58.8235294117647,,
