RIC;Timestamp;Venue;Volume;VWAP;Bid;Ask
BNPP.PA;26-Sep-2024 10:31:30.271;;150;63.3221;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.271;;39;63.3219;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.271;;8;63.3218;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.271;;81;63.3218;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.271;;52;63.3217;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.271;;40;63.3216;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:30.271;;150;63.3216;63.6400;63.6600
BNPP.PA;26-Sep-2024 10:31:28.905;;79;63.3213;63.6700;63.6800
SHEL.L;26-Sep-2024 10:31:26.737;SINT;4;2,439.6580;2,442.5000;2,443.5000
TTEF.PA;26-Sep-2024 10:31:25.042;;68;58.8164;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:31:25.042;;152;58.8164;58.8800;58.8900
TTEF.PA;26-Sep-2024 10:31:24.426;;83;58.8164;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:24.426;;7;58.8164;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:24.426;;187;58.8164;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:24.426;;164;58.8164;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:24.426;;69;58.8163;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:24.426;;100;58.8163;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:24.426;;50;58.8163;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:21.125;;191;58.8163;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:21.125;;60;58.8163;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:21.125;;249;58.8163;58.9000;58.9100
TTEF.PA;26-Sep-2024 10:31:17.503;;31;58.8163;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:17.503;;142;58.8163;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:17.503;;319;58.8163;58.8900;58.9000
TTEF.PA;26-Sep-2024 10:31:17.503;;139;58.8163;58.9000;58.9100
