Latitude;Longitude;rp100;rp1000
41,5444;-73,0417;0;0
62,3913;17,3063;0,158101946;0,2507056
26,126;-97,3776;0,247634321;0,352835536
-27,584;22,9275;0;0
-32,834;18,0061;0;0
39,9894;-0,6804;0;0
41,9778;-0,5373;0;0
49,1928;18,5083;0,372389674;0,653817177
32,5354;-85,8876;0;0
-30,8734;-71,5915;0;0
51,4606;1,0938;;
54,7642;-3,6955;;
54,7473;-3,7293;;
45,179734;28,7942981;0,554921746;0,882956386
52,5374;13,3461;0,286354989;0,323998362
42,7163;-0,5256;0;0
53,9664;9,4495;0,043756224;0,051347949
53,4116;14,5858;0,318934023;0,377836823
34,1721;-85,7538;1,419783235;2,157071829
42,5899;0,4927;0;0
54,2907;9,7228;0,065680049;0,0866763
65,5065;15,621;0,660915971;0,974689603
37,1672211;-8,2623508;2,065298557;2,771687508
43,1;-2,75;0;0
-29,0387;24,9332;2,016373634;2,66326952
20,09;41,439;0;0
64,5667;26,6667;0;0
40,7302296;-8,3477823;0;0
41,3006;-2,475;0;0
65,8078;21,6716;0,152448267;0,264448941
63,0287;16,5716;0,131189555;0,213206679
48,2022;18,597;0,28246519;0,414373755
38,4920141;22,9759911;0;0
29,9602085;-93,8911277;0,332260132;0,449138701
50,5244;11,7144;0;0
51,7422;10,9188;0;0
52,9504138;17,2891221;0;0
42,4366282;-79,3093576;0;0
41,8669062;12,4759242;1,110166907;1,432329655
64,2307;18,3117;0;0
63,1419;16,1611;0,131189555;0,213206679
41,0623658;-8,513252;0,587377369;0,806826472
44,9290687;-73,9279452;0;0
44,0524;-81,6558;0,064878054;0,094681241
49,5561;-113,963;0;0
35,7998;-114,9817;0,012156074;0,015776429
28,01;48,751;0,004591197;0,004945688
59,3623;17,8241;0,260356188;0,372975051
53,7364;-0,9981;0,565219879;0,726445615
35,1947;-98,9072;0;0
41,70165;-8,16343;0,587377369;0,806826472
33,7845;-86,0524;1,419783235;2,157071829
34,7313;-83,3755;0,578160405;1,054038525
61,3956;16,4041;0,040571116;0,061116762
4,8632;-52,2756;0,841883421;0,922539294
40,9319;14,385;0,149232283;0,192344576
39,0441375;-2,4835928;0;0
39,25;-0,7667;0,106979385;0,114793487
45,0251;28,8558;0;0
45,0451;28,9607;0;0
51,6028;7,0094;0;0
24,65;46,728;0;0
63,2207;15,3219;0,408778012;0,64842701
0;0;;
